timestamp,160m,80m,60m,40m,30m,20m,17m,15m,12m,10m,6m,sfi,ssn,k_index,a_index,bz,sw_speed,sw_density,xray
2026-04-09T08:00:12.567083+00:00,29,38,0,55,71,91,88,73,53,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-09T08:00:28.348650+00:00,29,38,0,55,71,91,88,73,53,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-09T08:00:45.114244+00:00,29,38,0,55,71,91,88,73,53,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-09T08:04:47.582578+00:00,29,38,0,55,71,91,88,73,53,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-09T08:04:50.973653+00:00,35,50,0,83,87,51,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-09T08:04:52.942415+00:00,29,38,0,55,71,91,88,73,53,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-09T08:04:55.129791+00:00,35,50,0,83,87,51,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-09T08:04:55.598447+00:00,29,38,0,55,71,91,88,73,53,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-09T08:07:49.888433+00:00,29,38,0,55,71,91,88,73,53,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-09T08:14:08.510045+00:00,29,38,0,55,71,91,88,73,53,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-09T10:27:29.205610+00:00,29,38,0,55,71,91,88,73,53,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-09T10:31:05.472058+00:00,29,38,0,55,71,91,88,73,53,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-09T10:31:54.862864+00:00,35,50,0,83,87,51,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-09T10:31:57.756888+00:00,29,38,0,55,71,91,88,73,53,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-09T10:31:59.680811+00:00,35,50,0,83,87,51,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-09T10:32:00.978251+00:00,29,38,0,55,71,91,88,73,53,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-09T10:33:43.438447+00:00,29,38,0,55,71,91,88,73,53,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-09T10:40:48.178785+00:00,29,38,0,55,71,91,88,73,53,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-09T10:43:40.640274+00:00,29,38,0,55,71,91,88,73,53,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-09T10:44:53.015169+00:00,29,38,0,55,71,91,88,73,53,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-09T10:48:29.518876+00:00,29,38,0,55,71,91,88,73,53,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-09T10:49:12.230556+00:00,10,20,0,34,53,76,98,80,57,38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-09T10:49:35.191048+00:00,29,38,0,55,71,91,88,73,53,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-09T10:55:16.431412+00:00,29,38,0,55,71,91,88,73,53,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-09T11:13:31.268797+00:00,30,40,0,60,78,98,75,58,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-09T11:14:13.401906+00:00,30,40,0,60,78,98,75,58,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-09T11:15:06.532915+00:00,30,40,0,60,78,98,75,58,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-09T11:16:31.007997+00:00,30,40,0,60,78,98,75,58,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
